iteration,status,quality,reachedT80,t80,uniqueTargetHits,targetThresholdCount,missingTargetFraction,simulatedTime,stepsExecuted,fieldModel.sources.sources[0].strength,fieldModel.sources.sources[1].strength,fieldModel.sources.sources[2].strength,fieldModel.sources.sources[3].strength,fieldModel.sources.sources[0].sigma,fieldModel.sources.sources[1].sigma,fieldModel.sources.sources[2].sigma,fieldModel.sources.sources[3].sigma,grad_fieldModel.sources.sources[0].strength,grad_fieldModel.sources.sources[1].strength,grad_fieldModel.sources.sources[2].strength,grad_fieldModel.sources.sources[3].strength,grad_fieldModel.sources.sources[0].sigma,grad_fieldModel.sources.sources[1].sigma,grad_fieldModel.sources.sources[2].sigma,grad_fieldModel.sources.sources[3].sigma
14,penalized,120.125,False,,14,16,0.125,120.00067901611328,120055,-1720.3272857666016,-2566.1107082366943,-3232.827533721924,-4531.741161346436,35.0,30.0,30.0,35.0,26.04361343383789,-20.271785736083984,0.03125,0.0,0.125,-41.148773193359375,-22.817848205566406,0.0
15,reached_t80,66.29019927978516,True,66.29019927978516,16,16,0.0,66.29019927978516,66315,-1746.3708992004395,-2545.8389225006104,-3232.858783721924,-4531.741161346436,35.0,50.0,50.0,35.0,25.40903663635254,25.371749877929688,-23.28063201904297,2.778972625732422,-3.4501075744628906,-53.834800720214844,5.298091888427734,-7.763736724853516
16,reached_t80,86.61502838134766,True,86.61502838134766,16,16,0.0,86.61502838134766,86651,-1771.779935836792,-2571.21067237854,-3209.578151702881,-4534.520133972168,38.45010757446289,50.0,44.701908111572266,42.763736724853516,28.755891799926758,0.0,-6.774778366088867,4.078258514404297,5.730352401733398,14.521018981933594,1.9264411926269531,-12.061370849609375
17,reached_t80,68.0262451171875,True,68.0262451171875,16,16,0.0,68.0262451171875,68052,-1800.5358276367188,-2571.21067237854,-3202.803373336792,-4538.598392486572,35.0,35.478981018066406,42.77546691894531,54.82510757446289,-11.296985626220703,8.320423126220703,0.0625,-18.656246185302734,-1.38323974609375,5.115116119384766,20.85603904724121,-41.0619206405382
18,reached_t80,87.54151916503906,True,87.54151916503906,16,16,0.0,87.54151916503906,87578,-1789.238842010498,-2579.5310955047607,-3202.865873336792,-4519.9421463012695,36.38323974609375,30.36386489868164,30.0,55.0,0.09375,10.810558319091797,-17.876869201660156,16.26049041748047,25.55095863342285,-21.426166828425107,5.014244079589844,-32.58348083496094
19,reached_t80,93.26437377929688,True,93.26437377929688,16,16,0.0,93.26437377929688,93304,-1789.332592010498,-2590.3416538238525,-3200.0,-4536.20263671875,35.0,50.0,30.0,55.0,0.09375,-11.12308120727539,-26.923126220703125,6.667030334472656,6.432464599609375,-26.798126220703125,-6.6063690185546875,-13.555549621582031
20,reached_t80,96.88038635253906,True,96.88038635253906,16,16,0.0,96.88038635253906,96922,-1789.426342010498,-2579.218572616577,-3200.0,-4542.869667053223,35.0,50.0,36.60636901855469,55.0,24.907312393188477,-9.88406753540039,-23.182113647460938,-19.05748748779297,3.1932449340820312,39.19746017456055,-0.03125,27.63780975341797
21,penalized,120.0625,False,,15,16,0.0625,120.00067901611328,120055,-1814.3336544036865,-2569.3345050811768,-3200.0,-4523.81217956543,35.0,30.0,36.63761901855469,35.0,-15.139106750488281,-7.4978790283203125,19.967880249023438,0.0,-1.7748794555664062,-31.323638916015625,31.277006149291992,0.0
22,reached_t80,91.67924499511719,True,91.67924499511719,16,16,0.0,91.67924499511719,91718,-1799.1945476531982,-2561.8366260528564,-3219.9678802490234,-4523.81217956543,36.774879455566406,50.0,30.0,35.0,-31.676286697387695,1.1343765258789062,24.696426391601562,-14.229106903076172,18.3953857421875,-28.383255004882812,28.383255004882812,-21.106399536132812
23,reached_t80,107.06278991699219,True,107.06278991699219,16,16,0.0,107.06278991699219,107110,-1767.5182609558105,-2562.9710025787354,-3244.664306640625,-4509.5830726623535,35.0,50.0,30.0,55.0,22.292749404907227,0.0,3.401632308959961,-25.315086364746094,13.062210083007812,25.882774353027344,-18.8216552734375,-9.606719970703125
24,reached_t80,62.57223892211914,True,62.57223892211914,16,16,0.0,62.57223892211914,62595,-1789.8110103607178,-2562.9710025787354,-3248.065938949585,-4484.267986297607,35.0,30.0,48.8216552734375,55.0,0.03125,3.71038818359375,3.137775421142578,-0.03125,57.49026107788086,57.49026107788086,-11.989410400390625,-57.55276107788086
25,reached_t80,110.88968658447266,True,110.88968658447266,16,16,0.0,110.88968658447266,110939,-1789.8422603607178,-2566.681390762329,-3251.2037143707275,-4484.236736297607,35.0,30.0,50.0,55.0,0.03125,-0.03125,-0.03125,-0.03125,-34.685935974121094,-54.42708969116211,7.908653259277344,-9.172813415527344
26,penalized,120.0625,False,,15,16,0.0625,120.00067901611328,120055,-1789.8735103607178,-2566.650140762329,-3251.1724643707275,-4484.205486297607,55.0,50.0,42.091346740722656,55.0,8.3238525390625,-10.44195556640625,3.1919403076171875,0.0,-0.125,2.2326278686523438,0.03125,-0.0625
27,reached_t80,90.22604370117188,True,90.22604370117188,16,16,0.0,90.22604370117188,90264,-1798.1973628997803,-2556.208185195923,-3254.3644046783447,-4484.205486297607,55.0,47.767372131347656,42.060096740722656,55.0,14.27215576171875,-21.658597946166992,16.178607940673828,-6.040607452392578,-16.538909912109375,0.03125,9.685178756713867,8.373397827148438
28,reached_t80,74.7915267944336,True,74.7915267944336,16,16,0.0,74.7915267944336,74821,-1812.469518661499,-2534.549587249756,-3270.5430126190186,-4478.164878845215,55.0,47.736122131347656,32.37491798400879,46.62660217285156,9.894790649414062,-28.383329391479492,0.0,6.2935028076171875,-45.270973205566406,12.005329132080078,6.295001983642578,-5.9987030029296875
29,reached_t80,71.05957794189453,True,71.05957794189453,16,16,0.0,71.05957794189453,71087,-1822.364309310913,-2506.1662578582764,-3270.5430126190186,-4484.458381652832,55.0,35.73079299926758,30.0,52.62530517578125,10.029949188232422,-23.630014419555664,-24.042980194091797,-16.355937957763672,-49.06542205810547,12.305198669433594,1.6470947265625,-16.87615203857422
